sample_id,condition,description
Fl_1,Fl,Fluorine Treatment
Fl_2,Fl,Fluorine Treatment
Fl_3,Fl,Fluorine Treatment
Fl_4,Fl,Fluorine Treatment
Fl_5,Fl,Fluorine Treatment
Fl_6,Fl,Fluorine Treatment
Fl_7,Fl,Fluorine Treatment
Fl_8,Fl,Fluorine Treatment
Fl_9,Fl,Fluorine Treatment
Fl_10,Fl,Fluorine Treatment
Fl_11,Fl,Fluorine Treatment
Fl_12,Fl,Fluorine Treatment
Fl_13,Fl,Fluorine Treatment
Fl_14,Fl,Fluorine Treatment
Fl_15,Fl,Fluorine Treatment
Fl_16,Fl,Fluorine Treatment
Fl_17,Fl,Fluorine Treatment
Fl_18,Fl,Fluorine Treatment
Fl_19,Fl,Fluorine Treatment
Fl_Arg_1,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_2,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_3,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_4,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_5,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_6,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_7,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_8,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_9,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_10,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_11,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_12,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_13,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_14,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_15,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_16,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_17,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_18,Fl_Arg,Fluorine and Arginine Treatment
Fl_Arg_19,Fl_Arg,Fluorine and Arginine Treatment